,,,,,,,,,Inspection information,,,,,,
Children's home,24/01/2018,Active,London,London,Hammersmith and Fulham,Hammersmith,Voluntary,Q Plus,Interim inspection,11/02/2019,05/03/2019,10054994,Sustained effectiveness,,
Children's home,16/02/2018,Active,London,London,Barking and Dagenham,Dagenham and Rainham,Private,Restoration Care & Services Limited,Full inspection,25/09/2018,15/10/2018,10053934,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,16/02/2018,Active,London,London,Barking and Dagenham,Dagenham and Rainham,Private,Restoration Care & Services Limited,Interim inspection,07/02/2019,04/03/2019,10053935,Sustained effectiveness,,
Children's home,22/05/2018,Active,North West,North West,Liverpool,Garston and Halewood,Private,Garway Young People Ltd,Full inspection,30/10/2018,16/11/2018,10068529,Good,Good,Good
Residential Family Centre,14/01/2018,Active,South East,South East,West Sussex,Bognor Regis and Littlehampton,Private,Ambient House Limited,Full inspection,17/09/2018,17/10/2018,10054121,Inadequate,Inadequate,Inadequate
Residential Family Centre,14/01/2018,Active,South East,South East,West Sussex,Bognor Regis and Littlehampton,Private,Ambient House Limited,Monitoring inspection,17/10/2018,22/11/2018,10078851,,,
Residential Family Centre,14/01/2018,Active,South East,South East,West Sussex,Bognor Regis and Littlehampton,Private,Ambient House Limited,Monitoring inspection,05/12/2018,22/02/2019,10078853,,,
Children's home,24/11/2017,Active,North West,North West,Bury,Bury North,Private,Next Stage 4 Life,Interim inspection,15/03/2019,12/04/2019,10051417,Sustained effectiveness,,
Children's home,24/11/2017,Active,North West,North West,Bury,Bury North,Private,Next Stage 4 Life,Full inspection,12/09/2018,01/10/2018,10051373,Good,Good,Good
Children's home,22/05/2018,Active,West Midlands,West Midlands,Staffordshire,South Staffordshire,Private,Nurture Me Psychological Services Limited,Full inspection,09/10/2018,30/10/2018,10055257,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,08/02/2018,Active,North West,North West,Lancashire,Fylde,Private,Future Focused Ltd,Full inspection,12/06/2018,02/07/2018,10051865,Good,Good,Outstanding
Children's home,08/02/2018,Active,North West,North West,Lancashire,Fylde,Private,Future Focused Ltd,Interim inspection,14/03/2019,12/04/2019,10051866,Declined effectiveness,,
Children's home,10/03/2018,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Rotherham,Rother Valley,Private,Happy Group (UK) Limited,Interim inspection,26/02/2019,18/03/2019,10084564,Improved effectiveness,,
Children's home,10/03/2018,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Rotherham,Rother Valley,Private,Happy Group (UK) Limited,Full inspection,18/06/2018,04/07/2018,10054199,Good,Good,Good
Children's home,23/03/2018,Active,North West,North West,St Helens,St Helens South and Whiston,Private,Elysium Healthcare Ltd,Full inspection,20/11/2018,13/12/2018,10056361,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,23/03/2018,Active,North West,North West,St Helens,St Helens South and Whiston,Private,Elysium Healthcare Ltd,Interim inspection,05/02/2019,05/03/2019,10056362,Not judged,,
Children's home,27/02/2018,Active,East Midlands,East Midlands,Lincolnshire,Sleaford and North Hykeham,Private,Soteria House Limited,Full inspection,15/05/2018,05/06/2018,10053947,Good,Good,Good
Children's home,27/02/2018,Active,East Midlands,East Midlands,Lincolnshire,Sleaford and North Hykeham,Private,Soteria House Limited,Interim inspection,18/09/2018,03/10/2018,10053948,Sustained effectiveness,,
Children's home,17/05/2018,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Wakefield,Wakefield,Private,The Partnership Of Care Today Children's Services,Full inspection,16/10/2018,13/11/2018,10056803,Good,Requires improvement to be good,Good
Children's home,10/04/2018,Active,North West,North West,Liverpool,;Liverpool, Riverside;,Private,Tab Care And Support Limited,Full inspection,03/10/2018,29/10/2018,10054964,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,22/02/2018,Active,South East,South East,East Sussex,Wealden,Private,Headstart Residential Care Ltd,Full inspection,02/10/2018,05/11/2018,10054487,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,22/02/2018,Active,South East,South East,East Sussex,Wealden,Private,Headstart Residential Care Ltd,Interim inspection,03/01/2019,29/01/2019,10054488,Improved effectiveness,,
Children's home,16/02/2018,Active,East Midlands,East Midlands,Nottinghamshire,Newark,Private,K&g Care Ltd,Full inspection,06/06/2018,28/06/2018,10051876,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,16/02/2018,Active,East Midlands,East Midlands,Nottinghamshire,Newark,Private,K&g Care Ltd,Interim inspection,23/08/2018,14/09/2018,10051860,Declined effectiveness,,
Children's home,16/02/2018,Active,East Midlands,East Midlands,Nottinghamshire,Newark,Private,K&g Care Ltd,Monitoring inspection,18/10/2018,05/11/2018,10078251,,,
Children's home,16/02/2018,Active,East Midlands,East Midlands,Nottinghamshire,Newark,Private,K&g Care Ltd,Monitoring inspection,14/11/2018,03/12/2018,10084128,,,
Children's home,22/01/2018,Active,North West,North West,Lancashire,South Ribble,Private,New Horizons (nw) Ltd,Full inspection,05/06/2018,29/06/2018,10051863,Good,Good,Good
Children's home,22/01/2018,Active,North West,North West,Lancashire,South Ribble,Private,New Horizons (nw) Ltd,Interim inspection,26/02/2019,26/03/2019,10051864,Declined effectiveness,,
Children's home,15/02/2018,Active,North West,North West,Stockport,Cheadle,Local Authority,Stockport Metropolitan Borough Council,Full inspection,04/06/2018,26/06/2018,10052059,Good,Good,Requires improvement to be good
Children's home,15/02/2018,Active,North West,North West,Stockport,Cheadle,Local Authority,Stockport Metropolitan Borough Council,Interim inspection,27/02/2019,18/03/2019,10052060,Improved effectiveness,,
Children's home,07/06/2018,Active,East of England,East of England,Essex,Saffron Walden,Private,Foundations Children & Family Services Ltd,Full inspection,08/08/2018,05/09/2018,10055285,Good,Good,Good
Children's home,18/05/2018,Active,North West,North West,Lancashire,Burnley,Private,Care 4 Children Residential Services Ltd,Full inspection,15/01/2019,01/02/2019,10077750,Good,Good,Good
Children's home,22/05/2018,Active,South East,South East,Buckinghamshire,Beaconsfield,Private,Calcot Services For Children Limited,Full inspection,01/03/2019,29/03/2019,10055287,Good,Good,Good
Children's home,25/01/2018,Active,North West,North West,Lancashire,Hyndburn,Private,GS Social Care Solutions Ltd,Full inspection,15/05/2018,11/06/2018,10054156,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,25/01/2018,Active,North West,North West,Lancashire,Hyndburn,Private,GS Social Care Solutions Ltd,Interim inspection,19/03/2019,10/04/2019,10094622,Improved effectiveness,,
Children's home,06/04/2018,Active,West Midlands,West Midlands,Staffordshire,Stoke-on-Trent North,Private,Inspire Care (uk) Limited,Monitoring inspection,23/07/2018,03/09/2018,10056609,,,
Children's home,06/04/2018,Active,West Midlands,West Midlands,Staffordshire,Stoke-on-Trent North,Private,Inspire Care (uk) Limited,Full inspection,12/09/2018,27/09/2018,10054017,Good,Good,Good
Children's home,06/04/2018,Active,West Midlands,West Midlands,Staffordshire,Stoke-on-Trent North,Private,Inspire Care (uk) Limited,Interim inspection,28/11/2018,18/12/2018,10086412,Declined effectiveness,,
Children's home,12/03/2018,Active,North West,North West,Lancashire,Preston,Private,Sandcastle Care Ltd,Full inspection,03/10/2018,24/10/2018,10052571,Good,Good,Good
Children's home,12/03/2018,Active,North West,North West,Lancashire,Preston,Private,Sandcastle Care Ltd,Interim inspection,21/02/2019,15/03/2019,10052572,Sustained effectiveness,,
Residential Special School,04/12/2017,Resigned,South East,South East,Surrey,Reigate,Local Authority,Surrey County Council,Monitoring inspection,19/06/2018,18/07/2018,10053995,,,
Children's home,25/07/2018,Active,South East,South East,Buckinghamshire,Wycombe,Voluntary,Action For Children,Full inspection,06/02/2019,14/03/2019,10067613,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,30/04/2018,Active,East Midlands,East Midlands,Nottingham,Nottingham North,Voluntary,Nottinghamshire Ymca,Full inspection,14/01/2019,04/02/2019,10055342,Good,Good,Good
Children's home,14/03/2018,Active,South West,South West,Devon,Torridge and West Devon,Private,Priory Education Services Limited,Full inspection,12/06/2018,03/07/2018,10053999,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,14/03/2018,Active,South West,South West,Devon,Torridge and West Devon,Private,Priory Education Services Limited,Monitoring inspection,01/02/2019,27/02/2019,10094056,,,
Children's home,14/03/2018,Active,South West,South West,Devon,Torridge and West Devon,Private,Priory Education Services Limited,Monitoring inspection,22/01/2019,13/02/2019,10087185,,,
Children's home,14/03/2018,Active,South West,South West,Devon,Torridge and West Devon,Private,Priory Education Services Limited,Monitoring inspection,26/11/2018,20/12/2018,10085391,,,
Children's home,14/03/2018,Active,South West,South West,Devon,Torridge and West Devon,Private,Priory Education Services Limited,Interim inspection,05/11/2018,21/11/2018,10054000,Declined effectiveness,,
Children's home,24/07/2018,Active,West Midlands,West Midlands,Walsall,Walsall North,Private,The Spring Children's And Transitional Care Ltd,Full inspection,21/11/2018,04/01/2019,10067238,Good,Good,Requires improvement to be good
Children's home,04/04/2018,Active,North West,North West,Bolton,Bolton South East,Private,Nestlings Care Ltd,Full inspection,25/10/2018,14/11/2018,10054113,Good,Good,Requires improvement to be good
Children's home,04/04/2018,Active,North West,North West,Bolton,Bolton South East,Private,Nestlings Care Ltd,Interim inspection,13/02/2019,04/03/2019,10054114,Sustained effectiveness,,
Children's home,06/04/2018,Active,West Midlands,West Midlands,Herefordshire,Hereford and South Herefordshire,Private,Greenfields Adolescent Development Limited,Full inspection,23/10/2018,13/11/2018,10055275,Good,Good,Good
Children's Home,18/05/2018,Active,West Midlands,West Midlands,Staffordshire,Lichfield,Private,Options Autism (4) Ltd,Full inspection,11/12/2018,15/01/2019,10056338,Good,Good,Requires improvement to be good
Children's home,26/03/2018,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Bradford,Bradford South,Local Authority,Bradford Childrens Specialist Service,Full inspection,15/08/2018,12/09/2018,10054112,Good,Good,Good
Children's home,26/03/2018,Active,East of England,East of England,Norfolk,South West Norfolk,Private,4d Care Ltd,Full inspection,05/09/2018,28/09/2018,10053627,Requires improvement to be good,Requires improvement to be good,Inadequate
Children's home,26/03/2018,Active,East of England,East of England,Norfolk,South West Norfolk,Private,4d Care Ltd,Interim inspection,15/03/2019,28/03/2019,10053628,Improved effectiveness,,
Children's home,23/05/2018,Active,North West,North West,Lancashire,Preston,Private,Care 4 Children Residential Services Ltd,Full inspection,17/10/2018,14/11/2018,10055543,Good,Requires improvement to be good,Good
Children's home,23/05/2018,Active,North West,North West,Lancashire,Preston,Private,Care 4 Children Residential Services Ltd,Monitoring inspection,11/03/2019,24/04/2019,10099630,,,
Children's home,16/03/2018,Active,South West,South West,South Gloucestershire,Filton and Bradley Stoke,Private,Aurora Asd Ltd,Full inspection,15/05/2018,07/06/2018,10053943,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,16/03/2018,Active,South West,South West,South Gloucestershire,Filton and Bradley Stoke,Private,Aurora Asd Ltd,Interim inspection,07/01/2019,29/01/2019,10053944,Declined effectiveness,,
Children's home,11/04/2018,Active,East Midlands,East Midlands,Northamptonshire,Northampton North,Private,Discovered Limited,Full inspection,20/12/2018,10/01/2019,10053937,Good,Good,Good
Children's home,11/04/2018,Active,East Midlands,East Midlands,Northamptonshire,Northampton North,Private,Discovered Limited,Interim inspection,04/02/2019,26/02/2019,10093575,Sustained effectiveness,,
Children's home,09/05/2018,Active,;North East, Yorkshire and the Humber;,North East,Redcar and Cleveland,Middlesbrough South and East Cleveland,Private,Tees-Valley Care Limited,Full inspection,23/10/2018,19/11/2018,10080484,Requires improvement to be good,Requires improvement to be good,Inadequate
Children's home,09/05/2018,Active,;North East, Yorkshire and the Humber;,North East,Redcar and Cleveland,Middlesbrough South and East Cleveland,Private,Tees-Valley Care Limited,Monitoring inspection,03/12/2018,26/02/2019,10083004,,,
Children's home,09/05/2018,Active,;North East, Yorkshire and the Humber;,North East,Redcar and Cleveland,Middlesbrough South and East Cleveland,Private,Tees-Valley Care Limited,Full inspection,13/09/2018,12/10/2018,10078302,Inadequate,Inadequate,Inadequate
Children's home,26/01/2018,Active,South East,South East,Hampshire,Meon Valley,Voluntary,Kids,Full inspection,06/02/2019,06/03/2019,10053945,Inadequate,Inadequate,Inadequate
Children's home,26/01/2018,Active,South East,South East,Hampshire,Meon Valley,Voluntary,Kids,Interim inspection,21/03/2019,15/04/2019,10095021,Not judged,,
Children's home,17/02/2018,Active,London,London,Haringey,Hornsey and Wood Green,Private,Area Camden Ltd,Full inspection,05/11/2018,05/12/2018,10053997,Good,Good,Good
Children's home,17/02/2018,Active,London,London,Haringey,Hornsey and Wood Green,Private,Area Camden Ltd,Interim inspection,06/03/2019,22/03/2019,10054004,Sustained effectiveness,,
Children's home,07/06/2018,Active,East of England,East of England,Suffolk,Ipswich,Private,Inroads Essex Limited,Full inspection,10/10/2018,05/11/2018,10055270,Good,Good,Requires improvement to be good
Children's home,29/05/2018,Active,East Midlands,East Midlands,Derbyshire,Chesterfield,Private,Heathcotes Cs Ltd,Full inspection,07/01/2019,08/02/2019,10078680,Good,Good,Good
Children's home,21/03/2018,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Yardley;,Voluntary,Birmingham Children's Trust Community Interest Company,Full inspection,05/09/2018,02/10/2018,10054118,Good,Good,Requires improvement to be good
Children's home,21/03/2018,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Yardley;,Voluntary,Birmingham Children's Trust Community Interest Company,Interim inspection,14/02/2019,05/03/2019,10054204,Improved effectiveness,,
Voluntary Adoption Agency,19/03/2018,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Ladywood;,Voluntary,Birmingham Children's Trust Community Interest Company,Full inspection,11/02/2019,25/03/2019,10054193,Good,Good,Outstanding
Children's home,20/03/2018,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Northfield;,Voluntary,Birmingham Children's Trust Community Interest Company,Full inspection,09/08/2018,31/08/2018,10054117,Good,Good,Good
Independent Fostering Agency,19/03/2018,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Ladywood;,Voluntary,Birmingham Children's Trust Community Interest Company,Full inspection,21/01/2019,14/03/2019,10054191,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,20/03/2018,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Northfield;,Voluntary,Birmingham Children's Trust Community Interest Company,Interim inspection,07/02/2019,06/03/2019,10054206,Declined effectiveness,,
Children's home,20/03/2018,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Northfield;,Voluntary,Birmingham Children's Trust Community Interest Company,Full inspection,12/09/2018,23/10/2018,10054115,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,20/03/2018,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Ladywood;,Voluntary,Birmingham Children's Trust Community Interest Company,Full inspection,20/09/2018,02/11/2018,10054116,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,04/06/2018,Active,London,London,Croydon,Croydon North,Private,Evoke Care Limited,Full inspection,15/10/2018,09/11/2018,10068649,Inadequate,Inadequate,Inadequate
Children's home,04/06/2018,Active,London,London,Croydon,Croydon North,Private,Evoke Care Limited,Monitoring inspection,28/11/2018,18/12/2018,10082718,,,
Children's home,04/06/2018,Active,London,London,Croydon,Croydon North,Private,Evoke Care Limited,Full inspection,05/02/2019,05/03/2019,10068650,Good,Good,Good
Children's home,04/05/2018,Active,North West,North West,Lancashire,Wyre and Preston North,Private,Lonsdale Care Ltd,Full inspection,22/11/2018,12/12/2018,10055542,Good,Good,Good
Children's home,07/06/2018,Active,East Midlands,East Midlands,Northamptonshire,Kettering,Private,Homes 2 Inspire Limited,Full inspection,18/02/2019,12/03/2019,10068256,Outstanding,Outstanding,Outstanding
Children's home,23/04/2018,Active,South West,South West,Wiltshire,North Wiltshire,Private,Park Blue Homes Limited,Full inspection,05/12/2018,11/01/2019,10056244,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,25/04/2018,Active,West Midlands,West Midlands,Staffordshire,Stafford,Private,Esland North Limited,Full inspection,28/11/2018,27/12/2018,10056376,Good,Good,Requires improvement to be good
Children's home,25/04/2018,Active,West Midlands,West Midlands,Staffordshire,Stafford,Private,Esland North Limited,Interim inspection,06/02/2019,05/03/2019,10056377,Improved effectiveness,,
Further Education College with Residential Accommodation,01/10/2018,Active,South West,South West,Devon,Exeter,Private,,Full inspection,09/10/2018,29/10/2018,10053797,Good,Good,Good
Children's home,28/06/2018,Active,East of England,East of England,Cambridgeshire,North East Cambridgeshire,Private,Parkview Care (broadstairs) Limited,Full inspection,14/11/2018,03/12/2018,10056209,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,07/07/2018,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Leeds,Leeds West,Private,Pebbles Care,Full inspection,13/11/2018,13/12/2018,10056577,Good,Good,Good
Children's home,07/07/2018,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Leeds,Leeds West,Private,Pebbles Care,Full inspection,06/12/2018,10/01/2019,10056578,Good,Good,Good
Children's home,30/04/2018,Active,East Midlands,East Midlands,Northamptonshire,Daventry,Private,Homes 2 Inspire Limited,Full inspection,11/02/2019,05/03/2019,10054269,Good,Requires improvement to be good,Good
Children's home,04/09/2018,Active,South East,South East,East Sussex,Bexhill and Battle,Private,Headstart Residential Care Ltd,Full inspection,15/11/2018,06/02/2019,10078160,Good,Good,Good
Children's home,18/06/2018,Active,South East,South East,Oxfordshire,Witney,Private,The Mulberry Bush Organisation Ltd,Full inspection,23/10/2018,14/11/2018,10056521,Outstanding,Outstanding,Outstanding
Children's home,17/05/2018,Active,North West,North West,Cumbria,Penrith and The Border,Private,A Wilderness Way Ltd,Interim inspection,19/02/2019,08/03/2019,10087183,Improved effectiveness,,
Children's home,17/05/2018,Active,North West,North West,Cumbria,Penrith and The Border,Private,A Wilderness Way Ltd,Full inspection,06/11/2018,30/11/2018,10081513,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,20/07/2018,Active,West Midlands,West Midlands,Staffordshire,Stone,Private,Hillcrest Children's Services (2) Ltd,Full inspection,05/03/2019,22/03/2019,10084478,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Residential Family Centre,18/07/2018,Active,East Midlands,East Midlands,Derbyshire,Derbyshire Dales,Private,Progressive Care Limited,Monitoring inspection,15/10/2018,30/10/2018,10081478,,,
Children's home,14/05/2018,Active,West Midlands,West Midlands,Shropshire,Shrewsbury and Atcham,Private,Bryn Melyn Care Limited,Full inspection,12/09/2018,03/10/2018,10054823,Good,Good,Good
Children's home,08/06/2018,Active,North West,North West,Lancashire,Fylde,Private,Sandcastle Care Ltd,Full inspection,18/12/2018,14/01/2019,10061023,Good,Good,Good
Children's home,07/08/2018,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Northfield;,Private,Nh Care Limited,Full inspection,29/01/2019,15/02/2019,10077716,Good,Good,Requires improvement to be good
Children's home,29/05/2018,Active,East Midlands,East Midlands,Leicestershire,Rutland and Melton,Private,Esland North Limited,Full inspection,28/11/2018,14/12/2018,10055278,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,16/08/2018,Active,;North East, Yorkshire and the Humber;,North East,Durham,Easington,Private,Invested Childcare Limited,Full inspection,30/10/2018,16/11/2018,10079831,Good,Requires improvement to be good,Good
Children's home,13/09/2018,Active,South East,South East,Kent,South Thanet,Private,Horizon Care And Education Group Limited,Full inspection,19/03/2019,29/04/2019,10084000,Good,Good,Good
Residential Special School,04/02/2018,Active,South East,South East,Kent,Folkestone and Hythe,Voluntary,The Caldecott Foundation Limited,Full inspection,04/03/2019,29/04/2019,10054505,Good,Good,Good
Children's home,05/07/2018,Active,West Midlands,West Midlands,Staffordshire,Lichfield,Private,Acorn Children's Homes (Branston) Ltd,Full inspection,02/10/2018,22/10/2018,10056516,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,16/05/2018,Active,South West,South West,Cornwall,Camborne and Redruth,Private,Devon & Cornwall Autistic Community Trust (t/a Spectrum),Full inspection,04/03/2019,03/04/2019,10055277,Inadequate,Inadequate,Inadequate
Children's home,12/06/2018,Active,East Midlands,East Midlands,Nottingham,Nottingham North,Local Authority,Nottingham City Council,Full inspection,21/11/2018,17/12/2018,10055343,Good,Good,Requires improvement to be good
Children's home,03/08/2018,Active,South West,South West,Cornwall,Camborne and Redruth,Private,Pathway Care Solutions Ltd,Full inspection,05/03/2019,27/03/2019,10086487,Inadequate,Inadequate,Inadequate
Children's home,26/07/2018,Active,North West,North West,Wigan,Makerfield,Private,All Round Care Ltd,Full inspection,27/02/2019,09/04/2019,10068542,Good,Good,Good
Children's home,16/04/2018,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Calderdale,Calder Valley,Private,Inspire Social Care Services Ltd,Full inspection,16/10/2018,09/11/2018,10055550,Good,Good,Good
Children's home,28/06/2018,Active,North West,North West,Blackpool,Blackpool North and Cleveleys,Private,Oaktree Childcare Ltd,Full inspection,11/01/2019,14/02/2019,10068695,Good,Good,Good
Children's home,08/05/2018,Active,South West,South West,Plymouth,;Plymouth, Sutton and Devonport;,Private,South West Childcare Services,Full inspection,06/11/2018,28/11/2018,10055276,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,22/06/2018,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North Yorkshire,Skipton and Ripon,Private,Roc Northwest Ltd,Full inspection,11/03/2019,05/04/2019,10070570,Good,Good,Good
Children's home,04/07/2018,Active,East Midlands,East Midlands,Northamptonshire,Wellingborough,Private,Good News Nwk Ltd,Full inspection,27/02/2019,18/03/2019,10067612,Good,Good,Requires improvement to be good
Children's home,15/06/2018,Active,North West,North West,Lancashire,Morecambe and Lunesdale,Private,Hopscotch Care Limited,Full inspection,13/11/2018,07/12/2018,10055844,Good,Good,Good
Children's home,13/06/2018,Active,West Midlands,West Midlands,Worcestershire,Redditch,Private,Keys Specialist Residential Children's Services Ltd,Full inspection,04/12/2018,04/01/2019,10056240,Good,Good,Good
Children's home,21/05/2018,Active,South West,South West,Somerset,Taunton Deane,Private,De Novo Care Ltd,Full inspection,29/01/2019,26/02/2019,10056245,Good,Requires improvement to be good,Good
Children's home,17/09/2018,Active,North West,North West,St Helens,St Helens South and Whiston,Private,New Roots Children's Services,Monitoring inspection,29/03/2019,17/04/2019,10098924,,,
Children's home,17/09/2018,Active,North West,North West,St Helens,St Helens South and Whiston,Private,New Roots Children's Services,Full inspection,11/02/2019,20/03/2019,10083997,Inadequate,Inadequate,Inadequate
Children's home,25/06/2018,Active,East Midlands,East Midlands,Nottinghamshire,Newark,Private,Kisimul Group Ltd,Full inspection,06/03/2019,26/03/2019,10067842,Good,Good,Good
Children's home,06/06/2018,Active,South West,South West,Gloucestershire,Forest of Dean,Private,Genesis CTE Ltd,Monitoring inspection,18/09/2018,04/10/2018,10077779,Good,,
Children's home,06/06/2018,Active,South West,South West,Gloucestershire,Forest of Dean,Private,Genesis CTE Ltd,Full inspection,31/07/2018,07/09/2018,10056550,Inadequate,Inadequate,Inadequate
Children's home,10/07/2018,Active,South West,South West,Devon,North Devon,Private,Blue Elephant Childcare Ltd,Full inspection,13/11/2018,06/12/2018,10056515,Good,Good,Requires improvement to be good
Children's home,18/05/2018,Active,North West,North West,Sefton,Bootle,Private,Independent Living Services (North West) Limited,Full inspection,15/11/2018,12/12/2018,10055085,Good,Good,Good
Children's home,19/07/2018,Active,London,London,Greenwich,Erith and Thamesmead,Private,Acorn Homes (uk) Ltd,Full inspection,19/12/2018,18/01/2019,10056341,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,06/09/2018,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Ladywood;,Private,Dmr Services Ltd,Full inspection,22/01/2019,13/02/2019,10084538,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,27/07/2018,Active,East Midlands,East Midlands,Northamptonshire,Wellingborough,Private,Homes 2 Inspire Limited,Full inspection,29/01/2019,13/02/2019,10067913,Good,Good,Good
Children's home,06/09/2018,Active,North West,North West,Oldham,Oldham East and Saddleworth,Private,Oasis Adolescent Services Limited,Full inspection,20/03/2019,08/04/2019,10084179,Good,Good,Outstanding
Children's home,06/09/2018,Active,West Midlands,West Midlands,Coventry,Coventry North West,Local Authority,Coventry City Council,Full inspection,12/02/2019,05/03/2019,10079815,Good,Good,Requires improvement to be good
Children's home,24/09/2018,Active,East of England,East of England,Essex,Brentwood and Ongar,Private,Mig House Residential Care Home Ltd,Full inspection,05/02/2019,26/02/2019,10079783,Good,Good,Good
Children's home,15/05/2018,Active,London,London,Brent,Brent North,Private,Aspire House Ltd,Interim inspection,22/02/2019,19/03/2019,10077625,Sustained effectiveness,,
Children's home,15/05/2018,Active,London,London,Brent,Brent North,Private,Aspire House Ltd,Full inspection,12/11/2018,12/12/2018,10077624,Good,Requires improvement to be good,Good
Residential special school (registered as a children's home),20/08/2018,Active,East Midlands,East Midlands,Derbyshire,Amber Valley,Private,Smoothstone Care And Education Ltd,Full inspection,07/01/2019,29/01/2019,10077501,Good,Good,Good
Children's home,02/08/2018,Active,West Midlands,West Midlands,Staffordshire,Cannock Chase,Private,First Blue Healthcare Limited,Full inspection,19/02/2019,21/03/2019,10070491,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,16/07/2018,Active,North West,North West,Oldham,Oldham East and Saddleworth,Private,Time-Out Children's Homes Ltd,Full inspection,05/02/2019,05/03/2019,10070566,Good,Good,Good
Children's home,16/07/2018,Active,North West,North West,Oldham,Oldham East and Saddleworth,Private,Time-Out Children's Homes Ltd,Full inspection,26/02/2019,22/03/2019,10070568,Good,Good,Good
Children's home,25/06/2018,Active,North West,North West,Wigan,Leigh,Private,Apex Children's Services,Full inspection,04/01/2019,21/01/2019,10067615,Good,Good,Good
Boarding School,16/05/2018,Active,London,London,Camden,Hampstead and Kilburn,Private,Heathside Preparatory School Limited,Monitoring inspection,06/06/2018,27/06/2018,10055130,,,
Boarding School,16/05/2018,Active,London,London,Camden,Hampstead and Kilburn,Private,Heathside Preparatory School Limited,Monitoring inspection,09/07/2018,01/11/2018,10056162,,,
Boarding School,16/05/2018,Active,London,London,Camden,Hampstead and Kilburn,Private,Heathside Preparatory School Limited,SC – Emergency inspection,27/09/2018,29/10/2018,10080550,,,
Children's home,29/06/2018,Active,South West,South West,Gloucestershire,Stroud,Private,Quality Time Care Ltd,Full inspection,18/02/2019,07/03/2019,10056246,Good,Good,Good
Children's home,01/08/2018,Active,West Midlands,West Midlands,Staffordshire,Staffordshire Moorlands,Private,Cambian Childcare Limited,Full inspection,29/01/2019,19/02/2019,10077704,Good,Good,Good
Children's home,30/08/2018,Active,South East,South East,Brighton and Hove,Hove,Private,Lioncare Ltd Operating As The Lioncare Group,Full inspection,19/12/2018,23/01/2019,10078795,Good,Good,Good
Children's home,22/07/2018,Active,East Midlands,East Midlands,Leicestershire,Rutland and Melton,Private,Esland North Limited,Full inspection,22/01/2019,07/02/2019,10056653,Good,Requires improvement to be good,Good
Children's home,26/07/2018,Active,South East,South East,West Berkshire,Newbury,Private,Hillcrest Children's Services Ltd,Full inspection,12/11/2018,30/11/2018,10068648,Good,Good,Good
Children's home,30/08/2018,Active,North West,North West,Wirral,Wirral West,Private,Milestones Care Homes Ltd,Full inspection,25/02/2019,03/04/2019,10078333,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,23/08/2018,Active,East Midlands,East Midlands,Leicester,Leicester West,Private,Ivie Lodge Ltd,Full inspection,19/02/2019,11/03/2019,10070681,Good,Good,Outstanding
